date,machine_name,region_id,sex,sdi,baseline_days,status
2016-07-22,ETHOSCOPE_040,20,F,10,4,OK
2016-07-22,ETHOSCOPE_050,1,M,10,4,OK
2016-07-22,ETHOSCOPE_050,2,M,0,4,OK
2016-07-22,ETHOSCOPE_050,3,M,10,4,OK
2016-07-22,ETHOSCOPE_050,4,M,0,4,OK
2016-07-22,ETHOSCOPE_050,5,M,10,4,OK
2016-07-22,ETHOSCOPE_050,6,M,0,4,OK
2016-07-22,ETHOSCOPE_050,7,M,10,4,OK
2016-07-22,ETHOSCOPE_050,8,M,0,4,OK
2016-07-22,ETHOSCOPE_050,9,M,10,4,OK
2016-07-22,ETHOSCOPE_050,10,M,0,4,OK
2016-07-22,ETHOSCOPE_050,11,M,0,4,OK
2016-07-22,ETHOSCOPE_050,12,M,10,4,OK
2016-07-22,ETHOSCOPE_050,13,M,0,4,OK
2016-07-22,ETHOSCOPE_050,14,M,10,4,OK
2016-07-22,ETHOSCOPE_050,15,M,0,4,OK
2016-07-22,ETHOSCOPE_050,16,M,10,4,OK
2016-07-22,ETHOSCOPE_050,17,M,0,4,OK
2016-07-22,ETHOSCOPE_050,18,M,10,4,OK
2016-07-22,ETHOSCOPE_050,19,M,0,4,OK
2016-07-22,ETHOSCOPE_050,20,M,10,4,OK
2016-07-29,ETHOSCOPE_014,1,M,10,3,OK
2016-07-29,ETHOSCOPE_014,2,M,0,3,OK
2016-07-29,ETHOSCOPE_014,3,M,10,3,OK
2016-07-29,ETHOSCOPE_014,4,M,0,3,OK
2016-07-29,ETHOSCOPE_014,5,M,10,3,OK
2016-07-29,ETHOSCOPE_014,6,M,0,3,OK
2016-07-29,ETHOSCOPE_014,7,M,10,3,OK
2016-07-29,ETHOSCOPE_014,8,M,0,3,OK
2016-07-29,ETHOSCOPE_014,9,M,10,3,OK
2016-07-29,ETHOSCOPE_014,10,M,0,3,OK
2016-07-29,ETHOSCOPE_014,11,M,0,3,OK
2016-07-29,ETHOSCOPE_014,12,M,10,3,OK
