date,machine_name,region_id,sex,sdi,baseline_days,status,video_region_id,video
2016-04-11,ETHOSCOPE_005,18,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,19,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,20,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,1,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,2,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,3,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,4,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,5,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,6,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,7,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,8,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,9,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,10,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,11,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,12,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,13,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,14,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,15,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,16,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,17,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,18,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,19,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_020,20,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,1,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,2,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,3,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,4,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,5,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,6,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,7,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_001,8,F,0,4,OK,None,None
